Year 	Month 	Date 	Hour 	Minute 	Second 	Temperature 	Humidity 	Heat Index
2021	4	21	12	11	50	nan	nan	nan
Year 	Month 	Date 	Hour 	Minute 	Second 	Temperature 	Humidity 	Heat Index
2021	4	21	12	11	53	nan	nan	nan
Year 	Month 	Date 	Hour 	Minute 	Second 	Temperature 	Humidity 	Heat Index
2021	4	21	12	11	56	nan	nan	nan
Year 	Month 	Date 	Hour 	Minute 	Second 	Temperature 	Humidity 	Heat Index
2021	4	21	12	11	58	nan	nan	nan
Year 	Month 	Date 	Hour 	Minute 	Second 	Temperature 	Humidity 	Heat Index
2021	4	21	12	12	0	nan	nan	nan
2021	4	21	12	27	1	33.60	51.60	38.05
2021	4	21	12	42	2	34.80	50.00	40.20
2021	4	21	12	57	3	35.70	47.70	41.41
2021	4	21	13	12	4	36.10	46.30	41.78
2021	4	21	13	27	5	35.90	44.60	40.63
2021	4	21	13	42	6	36.30	43.00	40.89
2021	4	21	13	57	7	36.70	40.60	40.81
2021	4	21	14	12	8	36.80	41.10	41.22
2021	4	21	14	27	9	37.00	41.30	41.74
2021	4	21	14	42	10	37.20	40.00	41.64
2021	4	21	14	57	11	37.30	39.60	41.69
2021	4	21	15	12	12	37.30	38.30	41.17
2021	4	21	15	27	13	37.30	37.80	40.97
2021	4	21	15	42	15	37.40	37.30	40.98
2021	4	21	15	57	16	37.50	37.70	41.34
2021	4	21	16	12	17	37.60	39.30	42.22
2021	4	21	16	27	18	37.50	39.30	42.00
2021	4	21	16	42	19	37.50	38.30	41.59
2021	4	21	16	57	20	37.50	39.10	41.92
2021	4	21	17	12	21	37.40	39.20	41.74
2021	4	21	17	27	22	37.30	39.30	41.57
2021	4	21	17	42	23	37.10	44.50	43.37
2021	4	21	17	57	24	36.70	50.10	45.01
2021	4	21	18	12	25	36.30	51.60	44.67
2021	4	21	18	27	26	36.10	52.20	44.42
2021	4	21	18	42	27	35.70	52.40	43.44
2021	4	21	18	57	28	35.50	52.30	42.88
2021	4	21	19	12	29	35.30	51.50	42.02
2021	4	21	19	27	30	35.20	50.50	41.36
2021	4	21	19	42	31	35.20	50.00	41.15
2021	4	21	19	57	32	35.10	50.00	40.91
2021	4	21	20	12	33	35.00	51.00	41.07
2021	4	21	20	27	34	34.80	51.70	40.86
2021	4	21	20	42	35	34.70	51.90	40.70
2021	4	21	20	57	36	34.60	52.20	40.57
2021	4	21	21	12	37	34.50	52.20	40.33
2021	4	21	21	27	38	34.40	52.50	40.21
2021	4	21	21	42	39	34.40	54.10	40.83
2021	4	21	21	57	40	34.30	55.40	41.09
2021	4	21	22	12	41	34.40	55.80	41.51
2021	4	21	22	27	42	34.30	56.10	41.37
Year 	Month 	Date 	Hour 	Minute 	Second 	Temperature 	Humidity 	Heat Index
2021	4	21	23	23	27	nan	nan	nan
Year 	Month 	Date 	Hour 	Minute 	Second 	Temperature 	Humidity 	Heat Index
2021	4	22	0	40	45	nan	nan	nan
2021	4	22	0	55	46	32.80	60.00	39.01
2021	4	22	1	10	47	32.90	61.70	39.87
2021	4	22	1	25	48	33.10	61.20	40.22
2021	4	22	1	40	49	33.20	60.70	40.29
2021	4	22	1	55	50	33.10	60.80	40.07
2021	4	22	2	10	51	33.10	60.90	40.11
2021	4	22	2	25	52	33.10	61.10	40.18
2021	4	22	2	40	53	33.10	61.30	40.25
2021	4	22	2	55	54	33.10	61.60	40.37
2021	4	22	3	10	55	33.00	62.00	40.25
2021	4	22	3	25	56	32.90	62.10	40.02
2021	4	22	3	40	57	32.80	62.80	40.01
2021	4	22	3	55	58	32.60	63.40	39.70
2021	4	22	4	10	59	32.50	63.90	39.61
2021	4	22	4	26	0	32.40	64.30	39.48
2021	4	22	4	41	1	32.40	64.80	39.66
2021	4	22	4	56	2	32.30	65.20	39.53
2021	4	22	5	11	3	32.30	65.60	39.67
2021	4	22	5	26	4	32.30	65.50	39.64
2021	4	22	5	41	5	32.20	66.10	39.58
2021	4	22	5	56	6	32.10	67.50	39.80
2021	4	22	6	11	7	31.90	67.70	39.31
2021	4	22	6	26	8	31.80	68.30	39.24
2021	4	22	6	41	9	31.70	68.50	39.03
2021	4	22	6	56	10	31.60	69.40	39.05
2021	4	22	7	11	11	31.60	69.10	38.95
2021	4	22	7	26	12	31.50	69.70	38.87
2021	4	22	7	41	13	31.60	70.00	39.25
2021	4	22	7	56	14	31.50	69.90	38.94
2021	4	22	8	11	15	31.60	69.40	39.05
2021	4	22	8	26	16	31.90	67.90	39.38
2021	4	22	8	41	17	32.10	67.00	39.62
Year 	Month 	Date 	Hour 	Minute 	Second 	Temperature 	Humidity 	Heat Index
2021	4	22	8	50	54	nan	nan	nan
2021	4	22	9	5	55	32.10	62.90	38.23
2021	4	22	9	20	56	32.10	63.50	38.42
2021	4	22	9	35	57	32.30	62.70	38.67
2021	4	22	9	50	58	32.60	60.90	38.82
Year 	Month 	Date 	Hour 	Minute 	Second 	Temperature 	Humidity 	Heat Index
2021	4	22	10	51	40	nan	nan	nan
2021	4	22	11	6	41	33.80	55.30	39.80
2021	4	22	11	21	42	34.00	55.80	40.49
2021	4	22	11	36	43	34.20	53.70	40.18
2021	4	22	11	51	44	34.60	52.50	40.69
2021	4	22	12	6	45	35.10	49.90	40.87
2021	4	22	12	21	46	35.50	49.20	41.55
2021	4	22	12	36	47	35.70	50.00	42.38
2021	4	22	12	51	48	35.80	48.20	41.86
2021	4	22	13	6	49	36.10	47.30	42.20
2021	4	22	13	21	50	36.30	46.70	42.42
2021	4	22	13	36	51	36.40	45.90	42.32
2021	4	22	13	51	52	36.60	45.60	42.66
2021	4	22	14	6	53	36.70	44.10	42.25
2021	4	22	14	21	54	37.00	45.60	43.63
2021	4	22	14	36	55	37.00	44.60	43.17
2021	4	22	14	51	56	37.10	42.80	42.61
2021	4	22	15	6	57	36.90	43.20	42.32
2021	4	22	15	21	58	37.10	41.70	42.13
2021	4	22	15	36	59	37.20	41.80	42.40
2021	4	22	15	52	0	37.30	39.90	41.82
2021	4	22	16	7	1	37.30	39.70	41.74
2021	4	22	16	22	2	37.30	38.60	41.29
2021	4	22	16	37	3	37.20	39.60	41.48
2021	4	22	16	52	4	37.20	41.00	42.06
2021	4	22	17	7	5	37.10	41.00	41.84
2021	4	22	17	22	6	37.10	42.50	42.48
2021	4	22	17	37	7	37.00	45.70	43.68
2021	4	22	17	52	9	36.70	48.90	44.43
2021	4	22	18	7	10	36.60	50.00	44.70
2021	4	22	18	22	11	36.40	50.80	44.55
2021	4	22	18	37	12	35.80	52.00	43.53
2021	4	22	18	52	13	35.70	52.90	43.67
2021	4	22	19	7	14	35.60	53.10	43.50
2021	4	22	19	22	15	35.40	53.50	43.15
2021	4	22	19	37	16	35.10	53.60	42.40
2021	4	22	19	52	17	35.00	53.80	42.23
2021	4	22	20	7	18	34.90	53.70	41.93
2021	4	22	20	22	19	34.80	54.30	41.92
2021	4	22	20	37	20	34.80	54.80	42.13
2021	4	22	20	52	21	34.70	55.90	42.34
2021	4	22	21	7	22	34.70	56.40	42.55
2021	4	22	21	22	23	34.50	55.90	41.81
2021	4	22	21	37	24	34.40	55.50	41.39
2021	4	22	21	52	25	34.30	56.00	41.33
2021	4	22	22	7	26	34.30	56.60	41.57
2021	4	22	22	22	27	34.40	57.10	42.05
2021	4	22	22	37	28	34.20	58.00	41.89
2021	4	22	22	52	29	34.20	58.40	42.05
2021	4	22	23	7	30	34.30	58.20	42.24
2021	4	22	23	22	31	34.30	58.10	42.20
2021	4	22	23	37	32	34.30	57.80	42.07
2021	4	22	23	52	33	34.20	58.00	41.89
2021	4	23	0	7	34	34.00	58.20	41.43
